ward,AUSPICE,bldg_type,cwelcc_flag,TOTSPACE,subsidy
15,Non Profit Agency,Public Elementary School,0,402,1
10,Non Profit Agency,High Rise Apartment,1,40,1
19,Commercial Agency,House,1,63,1
2,Commercial Agency,Other,1,45,1
10,Non Profit Agency,Public High School,1,49,1
21,Commercial Agency,House,1,52,1
24,Non Profit Agency,Purpose Built,1,149,1
2,Non Profit Agency,Public Elementary School,1,100,1
21,Other,Low Rise Apartment,1,16,1
16,Commercial Agency,High Rise Apartment,1,59,1
20,Commercial Agency,House,1,71,1
19,Commercial Agency,House,1,52,1
6,Non Profit Agency,Public Elementary School,1,151,1
10,Non Profit Agency,Other,1,30,1
9,Non Profit Agency,Catholic Elementary School,1,145,1
11,Non Profit Agency,Other,0,54,0
12,Non Profit Agency,Place of Worship,0,57,0
12,Non Profit Agency,Place of Worship,1,42,0
15,Commercial Agency,Public Elementary School,1,39,0
17,Commercial Agency,High Rise Apartment,1,90,1
15,Non Profit Agency,Catholic Elementary School,1,101,1
6,Non Profit Agency,Other,1,49,1
14,Non Profit Agency,Public Elementary School,1,181,1
15,Non Profit Agency,Public Elementary School,1,110,1
4,Non Profit Agency,Public High School,1,14,0
2,Non Profit Agency,Public Elementary School,1,129,1
2,Non Profit Agency,Catholic Elementary School,1,86,1
2,Non Profit Agency,Catholic Elementary School,1,99,1
2,Commercial Agency,Purpose Built,0,47,0
2,Non Profit Agency,Catholic Elementary School,1,127,1
2,Commercial Agency,Commercial Building,1,56,0
3,Commercial Agency,Place of Worship,0,31,0
3,Non Profit Agency,Other,1,16,0
3,Commercial Agency,Place of Worship,0,32,0
3,Non Profit Agency,Public (school closed),0,33,0
2,Non Profit Agency,Public Elementary School,0,86,1
3,Non Profit Agency,Public Elementary School,1,170,1
2,Non Profit Agency,Public High School,1,31,0
2,Non Profit Agency,Public Elementary School,1,58,1
2,Non Profit Agency,Public Elementary School,0,24,0
3,Non Profit Agency,Purpose Built,1,51,0
3,Non Profit Agency,Public Elementary School,0,144,1
3,Non Profit Agency,Place of Worship,1,47,0
2,Non Profit Agency,Catholic Elementary School,1,101,1
2,Non Profit Agency,Public (school closed),1,40,1
16,Non Profit Agency,Catholic Elementary (French),1,110,1
16,Commercial Agency,Place of Worship,1,31,0
18,Non Profit Agency,Purpose Built,1,40,0
7,Non Profit Agency,Other,1,25,0
8,Non Profit Agency,Public Elementary School,1,110,1
6,Non Profit Agency,Purpose Built,0,100,0
8,Non Profit Agency,Synagogue,1,65,0
17,Non Profit Agency,Catholic Elementary School,1,93,1
15,Non Profit Agency,Purpose Built,0,70,0
23,Commercial Agency,Place of Worship,0,40,0
22,Non Profit Agency,Place of Worship,1,49,1
22,Non Profit Agency,Place of Worship,1,55,1
25,Non Profit Agency,Commercial Building,1,121,0
20,Non Profit Agency,Public Elementary School,1,110,1
24,Non Profit Agency,Public Elementary School,1,110,1
24,Non Profit Agency,Public Elementary School,1,43,1
21,Non Profit Agency,Public Elementary School,1,16,1
21,Non Profit Agency,Catholic Elementary School,0,60,0
23,Non Profit Agency,Public Elementary School,1,118,1
25,Non Profit Agency,Commercial Building,1,119,0
23,Non Profit Agency,Public Elementary School,1,110,1
22,Non Profit Agency,Place of Worship,1,47,1
22,Non Profit Agency,Place of Worship,1,57,0
25,Non Profit Agency,Public Elementary School,1,59,1
20,Non Profit Agency,Place of Worship,1,54,1
24,Non Profit Agency,Public Elementary School,1,110,1
